ts,worker,latency_s,decode_tps,ntok
1785609796.420032,1,7.7955145835876465,13.919314805467819,107
1785609797.469368,2,8.844419956207275,13.732337067537236,120
1785609798.0898762,3,9.464237928390503,13.67812173742067,128
1785609798.0906262,0,9.466526746749878,13.68008355111029,128
1785609806.05466,1,9.634555101394653,13.642288536534155,128
1785609807.0970144,2,9.62756061553955,13.547465131682419,128
1785609807.4265187,0,9.335842370986938,13.713874171665411,124
1785609807.7629201,3,9.672969341278076,13.64781597626133,128
1785609815.397759,1,9.343028783798218,14.080382704801917,128
1785609816.4044178,2,9.307331323623657,14.02128321250383,128
1785609816.6451833,0,9.218602418899536,14.062906592402708,127
1785609817.0363946,3,9.273404598236084,14.179252784395379,128
1785609824.6463373,1,9.248507022857666,14.208146684906376,128
1785609825.64874,2,9.244244575500488,14.103895242436593,128
1785609825.8884895,0,9.243234395980835,14.120758297958812,128
1785609826.2794244,3,9.242959260940552,14.204504470312918,128
1785609833.8724048,1,9.225995063781738,14.241779350109779,128
1785609834.8706665,2,9.221850156784058,14.13933117870546,128
1785609835.1110878,0,9.222506761550903,14.15650458206238,128
1785609835.3574579,3,9.077960729598999,14.243452251087193,126
1785609842.7236774,1,8.851196527481079,14.278768933299343,123
1785609843.0988972,3,7.741367340087891,14.377574817304955,108
1785609844.1615248,2,9.290781021118164,14.034121334627395,128
1785609844.4031076,0,9.291951179504395,14.043392106757867,128
1785609851.9198484,1,9.196098566055298,14.28518178005418,128
1785609852.3009899,3,9.202016592025757,14.265425856953664,128
1785609853.3652768,2,9.203680515289307,14.1710395763922,128
1785609853.6068091,0,9.20363450050354,14.182365048979573,128
1785609859.5859537,1,7.666014909744263,14.270912541385648,106
1785609861.4793572,3,9.178287029266357,14.30340037642527,128
1785609862.5424514,2,9.177101135253906,14.213386233780223,128
1785609862.7841265,0,9.177250623703003,14.229322654226682,128
1785609868.7638164,1,9.177795171737671,14.316674093441353,128
1785609869.9666069,0,7.1824119091033936,14.418704914779743,101
1785609870.7000086,3,9.220577716827393,14.239743435422653,128
1785609871.7586994,2,9.216174840927124,14.152012515686069,128
1785609877.9238276,1,9.159941911697388,14.343256999565444,128
1785609879.1266644,2,7.367894172668457,14.447809580092475,104
1785609879.127432,0,9.160761594772339,14.25090612939266,128
1785609879.8822284,3,9.182137727737427,14.298431272188399,128
1785609886.9298563,2,7.803118705749512,14.471517291226657,110
1785609887.0992084,1,9.175287246704102,14.320279540806812,128
1785609888.300503,0,9.17301630973816,14.268521990690681,128
1785609889.0339193,3,9.151612758636475,14.347305217397542,128
1785609895.5490463,1,8.44976806640625,14.365001791364419,118
1785609896.1995943,2,9.26966667175293,14.064539976367177,128
1785609896.5102942,3,7.476298570632935,14.355991597327685,104
1785609897.5718071,0,9.27121639251709,14.078504158933113,128
1785609903.9429266,1,8.393809795379639,14.34332049340532,117
1785609904.802675,3,8.292300939559937,14.38797700950115,116
1785609905.4520504,2,9.252382278442383,14.091942216431315,128
1785609906.726861,0,9.1549813747406,14.263429269381465,128
1785609913.0943434,1,9.151344060897827,14.359114038176621,128
1785609913.951106,3,9.148358345031738,14.354094886847117,128
1785609914.594815,2,9.142690181732178,14.263810739735712,128
1785609915.86691,0,9.139978170394897,14.282140562595833,128
1785609922.0265422,3,8.075361967086792,14.53087639157041,114
1785609922.3261416,1,9.231723546981812,14.226909198419257,128
1785609922.7718062,2,8.176920175552368,14.235728681996298,114
1785609923.2850037,0,7.418023586273193,14.230279354199528,103
1785609930.6019924,3,8.575374841690063,14.37726149830474,120
1785609931.3168428,0,8.031767845153809,14.516057561006914,114
1785609931.4953344,1,9.169125318527222,14.326536921220502,128
1785609931.9391656,2,9.167290210723877,14.222563563747753,128
1785609936.7120411,0,5.395128488540649,14.379399497104469,75
1785609939.7353475,3,9.133281707763672,14.377445920865863,128
1785609940.5911298,1,9.095728874206543,14.443982287163971,128
1785609941.0360677,2,9.0968337059021,14.337196983901793,128
1785609945.8145354,0,9.102420091629028,14.343986731812272,128
1785609947.0964742,3,7.361053705215454,14.31041277543862,102
1785609949.7296999,1,9.138498783111572,14.37674992002933,128
1785609950.176371,2,9.14023494720459,14.26990272385687,128
1785609954.675159,0,8.860551834106445,14.284345095032366,124
1785609955.684352,3,8.587774753570557,14.35555749089738,120
1785609958.5986216,1,8.8688485622406,14.364280944947273,124
1785609959.3203113,2,9.143869876861572,14.263715370234234,128
1785609962.9316583,3,7.2472264766693115,14.392042369032772,101
1785609963.924769,0,9.249539136886597,14.11415795595236,128
1785609966.4444933,2,7.124109983444214,14.377742105002088,100
1785609967.7823331,1,9.183631181716919,14.308484898009008,128
1785609970.771177,0,6.8463358879089355,14.39955217392739,96
1785609971.8473465,3,8.91561245918274,14.736657654663237,128
1785609975.8489301,1,8.066524505615234,13.791123726300336,108
1785609975.8898666,2,9.445287704467773,13.79877611324052,128
