ts,worker,latency_s,decode_tps,ntok
1786376904.2489686,1,5.251258134841919,24.72342121157512,128
1786376904.249441,0,5.252222537994385,24.72354537185854,128
1786376909.4998994,3,10.501543760299683,24.723110816322354,128
1786376909.5003762,2,10.50233769416809,24.7231728947494,128
1786376914.7507713,1,10.501721620559692,24.731680587253756,128
1786376914.751244,0,10.501747608184814,24.731895624444622,128
1786376918.9838352,2,9.483405590057373,24.773788850351885,103
1786376920.0582387,3,10.558263540267944,24.466777174943573,128
1786376924.3095536,1,9.558709621429443,24.444713506047968,128
1786376925.3841913,0,10.632890939712524,24.460011798133817,128
1786376929.308389,2,10.32448410987854,24.44596779040027,120
1786376930.7085683,3,10.650253534317017,24.467927707978344,128
1786376934.6341076,1,10.324481964111328,24.44667902369895,128
1786376936.0339627,0,10.649699211120605,24.46157306643209,128
1786376939.9584045,2,10.649943113327026,24.454193856036632,128
1786376941.3582652,3,10.649621963500977,24.467076490197876,128
1786376945.2841215,1,10.649939775466919,24.447127262003875,128
1786376946.6839387,0,10.649904012680054,24.461157020371175,128
1786376949.672682,2,9.714202642440796,24.42556309646353,105
1786376952.0076847,3,10.649331092834473,24.469195290368102,128
1786376954.9972034,1,9.713009357452393,24.450830525945005,128
1786376957.3323758,0,10.648357629776001,24.465954095753627,128
1786376960.3213603,2,10.64860463142395,24.45464704206715,128
1786376962.656768,3,10.649007320404053,24.4668005586841,128
1786376965.645276,1,10.648004293441772,24.455754381687836,128
1786376966.1503341,0,8.817876100540161,24.407026871254406,83
1786376970.969275,2,10.647843360900879,24.455843160092346,128
1786376971.474032,3,8.81718897819519,24.46037171356752,128
1786376976.2954013,1,10.650052785873413,24.445096313679475,128
1786376976.8008304,0,10.65040397644043,24.455843160092346,128
1786376981.5016937,3,10.027590274810791,24.739615546374413,114
1786376981.6835313,2,10.714182615280151,24.159463025734922,128
1786376986.8286533,1,10.533174514770508,24.454665730511493,128
1786376987.0103688,0,10.20946478843689,24.442682958733304,128
1786376991.586138,2,9.902529954910278,24.744231584607217,111
1786376992.2136087,3,10.71184253692627,24.186584381891052,128
1786376996.9133234,1,10.084592580795288,24.43870686401177,128
1786376997.5407248,0,10.530280351638794,24.454371390830907,128
1786377001.6291008,2,10.042868852615356,24.42836015877137,113
1786377002.8664405,3,10.652751207351685,24.46138607768745,128
1786377006.7125876,1,9.799189567565918,24.428371110207394,122
1786377008.1949973,0,10.654197216033936,24.44753816155659,128
1786377011.0631971,2,9.434017896652222,24.408573229709553,104
1786377013.520628,3,10.654104232788086,24.461171044165216,128
1786377016.3878322,1,9.6751708984375,24.450470891236854,128
1786377018.8462064,0,10.651105165481567,24.461474896984704,128
1786377020.5334432,2,9.470171213150024,24.411816996197427,99
1786377024.1708972,3,10.650198459625244,24.465902655142973,128
1786377025.654913,1,9.267008066177368,24.442934590905757,123
1786377029.498319,0,10.652033567428589,24.453170745219932,128
1786377030.9836955,2,10.450173139572144,24.433286152912284,128
1786377034.8253014,3,10.654328346252441,24.455782416903837,128
1786377036.30973,1,10.654741287231445,24.445908652514778,128
1786377040.152607,0,10.654212713241577,24.453170745219932,128
1786377041.6368573,2,10.653088569641113,24.44094675826166,128
1786377045.274518,3,10.449142456054688,24.457398691191138,123
1786377046.9624548,1,10.652650356292725,24.44796775313053,128
1786377050.5993721,0,10.44668960571289,24.46456995108615,128
1786377052.2874587,2,10.650525569915771,24.44907915790495,128
1786377054.8273287,3,9.552735090255737,24.425215431609278,101
1786377057.6128309,1,10.65030288696289,24.448612168800096,128
1786377060.1527529,0,9.553303718566895,24.459343411856743,128
1786377062.2476346,2,9.960103273391724,24.423850175741702,111
1786377064.5832005,3,9.75579571723938,24.43736990270469,106
1786377067.5723987,1,9.959495067596436,24.45055496074062,128
1786377069.908209,0,9.755380868911743,24.462428576397503,128
1786377072.8982751,2,10.650563955307007,24.446450241733373,128
1786377075.0722167,3,10.488941192626953,24.4519991481239,124
1786377078.2239718,1,10.651495933532715,24.447561508536783,128
1786377080.1531703,0,10.244882345199585,24.45778886352674,122
1786377082.003461,2,9.105110883712769,24.393370749150233,90
1786377085.1524997,3,10.080208778381348,24.457008553227315,120
1786377087.1406283,1,8.916580200195312,25.356360870935532,128
