ts,latency_s,decode_tps,ntok,prefill_tps
1786432738.2,4.88,26.53,128,352.9
1786432743.0,4.88,26.53,128,353.1
1786432747.9,4.88,26.53,128,352.9
1786432751.3,3.36,26.59,88,353.1
1786432756.1,4.88,26.53,128,353.5
1786432761.0,4.88,26.52,128,353.0
1786432765.9,4.88,26.53,128,352.9
1786432770.8,4.88,26.51,128,352.7
1786432775.7,4.88,26.53,128,352.5
1786432780.5,4.88,26.52,128,353.3
1786432785.4,4.88,26.52,128,353.6
1786432789.4,4.01,26.56,105,352.8
1786432794.3,4.88,26.52,128,353.0
1786432798.1,3.81,26.57,100,353.0
1786432800.8,2.68,26.67,70,353.0
1786432805.1,4.27,26.54,112,352.9
1786432809.2,4.15,26.56,109,352.5
1786432813.6,4.42,26.54,116,352.9
1786432818.4,4.73,26.52,124,352.9
1786432823.2,4.88,26.52,128,352.6
1786432826.5,3.29,26.59,86,353.4
1786432830.9,4.34,26.55,114,353.4
1786432835.7,4.88,26.52,128,352.8
1786432840.6,4.88,26.52,128,352.4
1786432845.5,4.88,26.53,128,353.4
1786432850.4,4.88,26.53,128,353.0
1786432855.3,4.89,26.48,128,352.7
1786432860.1,4.88,26.53,128,353.4
1786432864.6,4.42,26.54,116,352.0
1786432869.4,4.88,26.52,128,353.2
1786432874.3,4.88,26.53,128,352.8
1786432879.2,4.88,26.52,128,352.8
1786432884.0,4.80,26.54,126,353.1
1786432888.9,4.88,26.54,128,353.1
1786432893.7,4.88,26.53,128,352.6
1786432898.6,4.87,26.55,128,353.5
1786432903.5,4.88,26.53,128,353.4
1786432908.4,4.88,26.52,128,353.3
1786432913.2,4.88,26.53,128,353.1
1786432918.1,4.88,26.54,128,352.6
1786432921.8,3.63,26.56,95,352.7
1786432926.6,4.88,26.52,128,352.7
1786432931.5,4.88,26.52,128,352.4
1786432934.9,3.36,26.59,88,352.7
1786432939.3,4.38,26.54,115,353.1
1786432944.1,4.88,26.53,128,352.8
1786432949.0,4.88,26.52,128,352.8
1786432953.9,4.88,26.52,128,353.7
1786432958.8,4.88,26.53,128,352.9
1786432962.6,3.82,26.56,100,352.2
1786432965.9,3.36,26.61,88,353.1
1786432970.8,4.88,26.53,128,352.8
1786432975.7,4.88,26.52,128,352.4
1786432980.0,4.35,26.55,114,352.7
1786432984.9,4.88,26.53,128,352.8
1786432989.8,4.88,26.53,128,353.8
1786432994.5,4.69,26.54,123,353.6
1786432999.4,4.88,26.52,128,353.2
1786433004.2,4.88,26.53,128,353.1
1786433008.8,4.53,26.54,119,352.9
1786433012.0,3.21,26.62,84,353.5
1786433016.9,4.88,26.52,128,353.3
1786433021.7,4.88,26.53,128,352.7
1786433026.6,4.88,26.52,128,353.3
1786433031.0,4.35,26.54,114,352.9
1786433035.8,4.88,26.53,128,352.8
1786433040.7,4.88,26.53,128,352.3
1786433044.6,3.89,26.57,102,353.1
1786433048.1,3.51,26.60,92,353.2
1786433053.0,4.87,26.54,128,353.2
1786433057.9,4.88,26.52,128,353.1
1786433061.8,3.97,26.57,104,352.9
1786433066.7,4.88,26.51,128,353.1
1786433071.6,4.88,26.53,128,353.1
1786433076.2,4.61,26.55,121,353.1
1786433081.1,4.88,26.53,128,353.0
1786433085.3,4.27,26.55,112,352.9
1786433090.2,4.87,26.54,128,353.4
1786433094.4,4.15,26.56,109,353.3
1786433099.2,4.88,26.53,128,352.8
1786433104.1,4.88,26.54,128,353.1
1786433109.0,4.88,26.54,128,353.5
1786433113.9,4.88,26.54,128,352.9
1786433118.7,4.84,26.53,127,353.2
1786433123.6,4.88,26.53,128,352.4
1786433128.5,4.87,26.54,128,352.9
1786433133.3,4.88,26.54,128,351.9
1786433138.2,4.88,26.53,128,353.1
1786433143.1,4.88,26.53,128,353.0
1786433147.4,4.35,26.55,114,353.1
1786433152.3,4.88,26.52,128,353.2
1786433157.2,4.87,26.54,128,353.1
1786433161.2,4.00,26.56,105,353.0
1786433166.1,4.88,26.53,128,353.2
1786433169.8,3.74,26.59,98,353.1
1786433174.7,4.88,26.53,128,353.1
1786433179.6,4.88,26.53,128,353.3
1786433182.9,3.36,26.60,88,352.4
1786433187.8,4.88,26.53,128,352.8
1786433192.7,4.88,26.53,128,352.7
1786433196.9,4.23,26.56,111,352.7
1786433201.8,4.87,26.54,128,352.9
1786433206.7,4.88,26.53,128,353.7
1786433211.5,4.87,26.55,128,353.1
1786433216.4,4.87,26.54,128,352.8
1786433221.3,4.88,26.53,128,352.8
1786433225.1,3.81,26.59,100,353.2
1786433230.0,4.87,26.54,128,353.5
1786433233.4,3.43,26.61,90,353.2
1786433238.3,4.87,26.54,128,353.7
1786433243.2,4.87,26.54,128,353.3
1786433248.0,4.88,26.53,128,353.0
1786433252.5,4.50,26.55,118,353.3
1786433257.4,4.87,26.54,128,353.0
1786433262.3,4.88,26.53,128,353.2
1786433267.2,4.88,26.52,128,353.3
1786433272.0,4.87,26.54,128,353.5
1786433276.9,4.88,26.53,128,352.8
1786433281.6,4.72,26.54,124,352.9
1786433286.5,4.87,26.54,128,352.2
1786433290.8,4.27,26.54,112,353.1
1786433295.7,4.88,26.53,128,353.0
1786433299.2,3.55,26.59,93,352.5
1786433304.1,4.88,26.52,128,352.6
1786433309.0,4.88,26.53,128,353.5
1786433312.5,3.59,26.59,94,353.4
1786433317.4,4.88,26.53,128,353.1
1786433322.3,4.87,26.54,128,353.1
1786433327.2,4.88,26.54,128,353.1
1786433332.0,4.88,26.53,128,353.0
1786433336.9,4.87,26.54,128,352.9
1786433341.8,4.87,26.54,128,353.0
1786433346.7,4.88,26.54,128,353.3
1786433351.5,4.88,26.54,128,352.6
1786433356.4,4.88,26.53,128,352.9
1786433361.3,4.88,26.53,128,352.2
1786433364.5,3.21,26.62,84,353.1
1786433369.2,4.69,26.52,123,352.9
1786433374.1,4.88,26.53,128,352.4
1786433378.9,4.88,26.53,128,352.8
1786433383.8,4.88,26.54,128,353.2
1786433387.5,3.63,26.58,95,353.1
1786433392.3,4.88,26.53,128,353.3
1786433397.2,4.88,26.53,128,352.6
1786433402.1,4.88,26.52,128,352.6
1786433406.7,4.61,26.54,121,351.9
1786433411.4,4.72,26.54,124,353.0
1786433416.3,4.88,26.53,128,352.9
1786433420.3,4.00,26.57,105,352.8
1786433425.2,4.88,26.53,128,352.8
1786433430.0,4.88,26.53,128,352.8
1786433434.9,4.88,26.54,128,353.0
1786433439.1,4.19,26.56,110,353.2
1786433444.0,4.88,26.51,128,352.5
1786433448.9,4.88,26.53,128,352.7
1786433453.7,4.88,26.53,128,351.7
1786433457.2,3.44,26.60,90,353.2
1786433462.1,4.88,26.53,128,353.2
1786433466.1,4.00,26.57,105,352.8
1786433470.0,3.93,26.55,103,352.8
1786433474.9,4.88,26.53,128,353.3
1786433478.7,3.85,26.57,101,352.7
1786433482.8,4.08,26.56,107,353.2
1786433487.7,4.88,26.54,128,352.7
1786433492.6,4.88,26.53,128,352.6
1786433496.3,3.70,26.58,97,352.5
1786433501.1,4.88,26.53,128,352.8
1786433506.0,4.88,26.53,128,353.5
1786433510.4,4.42,26.55,116,353.1
1786433513.7,3.28,26.61,86,353.2
1786433517.7,4.00,26.57,105,353.2
1786433522.6,4.88,26.52,128,353.1
1786433526.2,3.59,26.59,94,352.8
1786433531.1,4.88,26.53,128,352.8
1786433535.9,4.88,26.51,128,351.7
1786433540.7,4.72,26.53,124,353.0
1786433545.5,4.88,26.52,128,353.2
1786433550.4,4.88,26.53,128,352.9
1786433555.3,4.88,26.52,128,352.6
1786433560.2,4.88,26.51,128,353.2
1786433564.9,4.73,26.51,124,353.1
1786433569.3,4.42,26.54,116,352.3
1786433574.2,4.88,26.53,128,352.9
1786433579.1,4.88,26.53,128,353.4
1786433584.0,4.88,26.53,128,352.5
1786433588.8,4.88,26.53,128,352.9
1786433593.7,4.88,26.53,128,352.8
1786433598.6,4.88,26.53,128,353.2
1786433602.6,3.97,26.56,104,352.7
1786433607.0,4.46,26.54,117,353.3
1786433611.9,4.88,26.53,128,352.1
1786433616.7,4.84,26.53,127,353.5
1786433621.6,4.88,26.52,128,352.8
1786433626.5,4.88,26.53,128,352.9
1786433631.4,4.88,26.53,128,352.9
1786433636.2,4.88,26.52,128,352.9
1786433641.1,4.88,26.52,128,352.8
1786433645.4,4.24,26.53,111,352.6
1786433650.2,4.88,26.52,128,353.2
