ts,worker,latency_s,decode_tps,ntok
1786433844.4501922,0,4.393136262893677,24.782223317478117,107
1786433845.36067,1,5.303144454956055,24.480993377508774,128
1786433849.7661543,2,9.708333969116211,24.498489132240547,128
1786433850.1919627,3,10.133744716644287,24.46691134984161,116
1786433853.9441566,0,9.493883848190308,24.480697092745853,100
1786433855.507092,1,10.14634656906128,24.488707357842575,128
1786433859.260131,2,9.493903398513794,24.504759762418693,128
1786433860.8225,3,10.630464553833008,24.49654340376026,128
1786433864.578625,0,10.634397268295288,24.493332455655587,128
1786433866.1419044,1,10.634739398956299,24.476995448808662,128
1786433867.6212213,2,8.361017227172852,24.41047846911041,72
1786433871.458847,3,10.636271715164185,24.4887448389492,128
1786433872.9376268,0,8.358931064605713,24.50138719963309,128
1786433876.7749913,1,10.633012056350708,24.492451349955033,128
1786433878.2544308,2,10.63313627243042,24.504797292679367,128
1786433882.0997236,3,10.640800714492798,24.4524420061624,128
1786433883.579328,0,10.64163088798523,24.463630131318094,128
1786433887.4155023,1,10.640437364578247,24.49479954355472,128
1786433888.000943,2,9.746437788009644,24.48780634303489,106
1786433892.2417912,3,10.14199686050415,24.49203829287959,116
1786433893.31382,0,9.734418869018555,24.519222112353972,128
1786433896.6647017,1,9.249128580093384,24.464182475105964,106
1786433898.6305609,2,10.629545211791992,24.50377463419023,128
1786433900.9245064,3,8.682642936706543,24.45942277680633,102
1786433903.9455724,0,10.631678581237793,24.512075644265437,128
1786433906.2390265,1,9.574250221252441,24.498142160422255,128
1786433909.259582,2,10.628942489624023,24.51570470297404,128
1786433911.5524974,3,10.627902030944824,24.504590877668296,128
1786433914.5738308,0,10.628173828125,24.51570000750793,128
1786433916.8667824,1,10.62766695022583,24.502264258068568,128
1786433919.1979623,2,9.938302993774414,24.49501647786379,111
1786433922.1798599,3,10.627288103103638,24.50789393519615,128
1786433923.2116482,0,8.637733697891235,24.481783130674323,96
1786433926.9665267,1,10.099668502807617,24.484880692628305,115
1786433928.5262487,2,9.328209400177002,24.51108523404352,128
1786433932.2811813,3,10.101248741149902,24.498775156940493,128
1786433932.7046087,0,9.492884874343872,24.476520652798598,100
1786433937.596139,1,10.6295325756073,24.498404732785566,128
1786433938.0191782,2,9.49285340309143,24.51089748757556,128
1786433942.912405,3,10.63115406036377,24.490262920192166,128
1786433943.3348935,0,10.630212306976318,24.507696852809644,128
1786433948.2256417,1,10.629423141479492,24.503798088703746,128
1786433948.6491492,2,10.62990140914917,24.515498104166735,128
1786433952.2029278,3,9.29044771194458,24.44022243175068,95
1786433953.396582,0,10.061615705490112,24.49309498830455,114
1786433957.516518,1,9.290804386138916,24.50108235445448,128
1786433958.7116516,2,10.062432289123535,24.510414053658657,128
1786433962.8330002,3,10.629998207092285,24.492666933789813,128
1786433964.0272884,0,10.630630016326904,24.507466927364845,128
1786433966.6450908,1,9.128501176834106,24.45079090247869,91
1786433968.7721584,2,10.060431957244873,24.50652668997223,114
1786433971.9585757,3,9.125501155853271,24.50150444979862,128
1786433974.0862973,0,10.05893325805664,24.5146060129349,128
1786433977.028858,1,10.38369107246399,24.49751972652736,122
1786433978.3851986,2,9.612961053848267,24.49092753800314,103
1786433982.3434741,3,10.384826183319092,24.49779519843214,128
1786433983.7007113,0,9.614338874816895,24.507490388947275,128
1786433986.7648056,1,9.735876083374023,24.47381302006853,106
1786433989.01353,2,10.628252267837524,24.522543209966422,128
1786433992.07832,3,9.734771490097046,24.50305225716183,128
1786433994.3273637,0,10.626580715179443,24.517371707106285,128
1786433997.3910527,1,10.626177072525024,24.50672556449711,128
1786433998.8299956,2,9.8163743019104,24.49254508159079,108
1786434002.0561423,3,9.977747678756714,24.48181077964731,112
1786434004.1442862,0,9.816852331161499,24.509104653685394,128
1786434007.3721495,1,9.981024980545044,24.492399797861165,128
1786434009.459634,2,10.629557847976685,24.51084116419602,128
1786434012.687464,3,10.631247997283936,24.494785481175185,128
1786434013.232586,0,9.08822774887085,24.457192982742193,90
1786434018.0033224,1,10.631094694137573,24.494912043172285,128
1786434018.5475764,2,9.087868928909302,24.508241183303838,128
1786434023.033454,0,9.800798177719116,24.814178229542534,109
1786434023.3775735,3,10.690041542053223,24.22021778895524,128
1786434027.1314497,2,8.583799839019775,24.839749495220804,91
1786434028.277755,1,10.274362802505493,24.8469196807792,128
